ST,OCCPSTEM,RAC1P,SEX,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
Montana,Non-STEM,Native American or Hawaiian,Female,-0.2343532819434205,0.75,13990.77834224599,1410,0.9535361059876644,MT,0
Montana,Non-STEM,Native American or Hawaiian,Male,0.19729445263975492,0.5333333333333333,3457.180748663102,1372,1.0419312530066496,MT,0
Montana,Non-STEM,White,Female,-0.04686021812893709,0.8847926267281107,16961.793048128344,27320,0.9514246009444609,MT,0
Montana,Non-STEM,White,Male,0.10118099496856864,0.84,25928.85561497326,28919,1.0429571867051208,MT,0
Montana,Not working,Native American or Hawaiian,Female,,0.0,0.0,252,32.06970787339147,MT,1
Montana,Not working,White,Male,,1.0,0.0,90,0.6108043939603373,MT,1
Montana,STEM,Asian,Male,-0.03168127909669805,1.0,64822.13903743315,361,5.233973265293518,MT,0
Montana,STEM,Native American or Hawaiian,Male,,0.0,3241.1069518716577,165,1.3198671716854415,MT,1
Montana,STEM,White,Female,0.5156866529530698,0.9333333333333333,10803.689839572193,2757,1.0113274075881173,MT,0
Montana,STEM,White,Male,0.7065769354015097,0.9,42134.390374331546,2827,1.0739160855250933,MT,0
Montana,STEM-related,Asian,Male,-0.8152353858425966,1.0,69143.61497326204,278,5.712579819942841,MT,0
Montana,STEM-related,Native American or Hawaiian,Female,0.4881534997210601,0.0,32411.069518716577,64,0.6461338896186506,MT,0
Montana,STEM-related,White,Female,-0.0929986646403681,0.8571428571428571,37812.914438502674,3440,1.7884493324177657,MT,0
Montana,STEM-related,White,Male,-0.10136289931430054,1.0,43214.75935828877,529,0.2848153543815983,MT,0
Nebraska,Non-STEM,Asian,Female,-0.055883162189670176,0.8333333333333334,7900.575418994414,1533,0.9322854734442261,NE,0
Nebraska,Non-STEM,Asian,Male,-0.3228333240401765,0.9285714285714286,12979.516759776536,948,0.9660203722146801,NE,0
Nebraska,Non-STEM,Black or African American,Female,-0.2558372711573494,0.7894736842105263,28216.340782122905,4678,1.0683331039120347,NE,0
Nebraska,Non-STEM,Black or African American,Male,-0.27461796500670094,0.6071428571428571,3498.8262569832405,4588,1.0390392866767533,NE,0
Nebraska,Non-STEM,Multi-racial and Other,Female,-0.07252024859932454,0.8518518518518519,28216.340782122905,5243,1.0132949553194295,NE,0
Nebraska,Non-STEM,Multi-racial and Other,Male,0.3773885156156546,0.6060606060606061,16929.804469273742,4263,1.1402708823926444,NE,0
Nebraska,Non-STEM,Native American or Hawaiian,Female,0.032625736382567785,0.4,8069.873463687151,639,1.1402708823926444,NE,0
Nebraska,Non-STEM,Native American or Hawaiian,Male,-0.2932364119180202,0.4,8182.738826815643,811,1.1402708823926444,NE,0
Nebraska,Non-STEM,White,Female,-0.03189704503983702,0.910377358490566,21500.851675977654,52645,0.9597358924915388,NE,0
Nebraska,Non-STEM,White,Male,0.08755994861607863,0.8556485355648535,33859.608938547484,57994,1.0195160500359068,NE,0
Nebraska,Not working,Black or African American,Female,,1.0,0.0,162,10.026822917938771,NE,1
Nebraska,Not working,Black or African American,Male,,0.0,0.0,330,20.254632208685543,NE,1
Nebraska,STEM,Asian,Male,-0.10692448353455841,1.0,28216.340782122905,171,3.0305088728511977,NE,0
Nebraska,STEM,Black or African American,Female,-0.5189321531088487,1.0,20315.76536312849,18,0.07149249852362762,NE,0
Nebraska,STEM,Black or African American,Male,0.2610518771173949,1.0,84649.02234636871,117,0.46082488447568476,NE,0
Nebraska,STEM,Multi-racial and Other,Female,-0.8152803780951086,1.0,76748.4469273743,87,0.2924265341447941,NE,0
Nebraska,STEM,White,Female,-0.3399166339721544,1.0,39502.87709497207,2258,0.7159126660947426,NE,0
Nebraska,STEM,White,Male,0.14809642052077818,0.9487179487179487,51918.06703910615,5016,1.5335926991114768,NE,0
Nebraska,STEM-related,Asian,Female,0.7505370490471194,1.0,27087.687150837988,342,2.6299848648648645,NE,0
Nebraska,STEM-related,Black or African American,Female,-0.3206246553305953,1.0,26184.764245810053,135,0.3898527639976194,NE,0
Nebraska,STEM-related,Multi-racial and Other,Female,0.6215635493665036,1.0,56432.68156424581,570,1.3930004580852038,NE,0
Nebraska,STEM-related,White,Female,0.3957964560722435,0.9838709677419355,45710.47206703911,7645,1.7623512766661775,NE,0
Nebraska,STEM-related,White,Male,0.584378615403012,0.9090909090909091,45146.14525139665,1853,0.41191423727116355,NE,0
Nevada,Non-STEM,Asian,Female,-0.18452587651876856,0.9154929577464789,23438.68275154004,7019,0.9343385291701122,NV,0
Nevada,Non-STEM,Asian,Male,0.029254323490244812,0.7571428571428571,20327.35318275154,7370,0.8779945747459814,NV,0
Nevada,Non-STEM,Black or African American,Female,-0.05049892620649525,0.8970588235294118,20742.197125256676,10837,1.045897897345132,NV,0
Nevada,Non-STEM,Black or African American,Male,0.3363608997522982,0.7625,20742.197125256676,11679,0.9820584195357561,NV,0
Nevada,Non-STEM,Multi-racial and Other,Female,0.0664413704922884,0.8266666666666667,20742.197125256676,20244,0.9941472347176187,NV,0
Nevada,Non-STEM,Multi-racial and Other,Male,0.02772733850877492,0.7189189189189189,25927.74640657084,22652,1.0648524466730525,NV,0
Nevada,Non-STEM,Native American or Hawaiian,Female,-0.31282703640896736,0.8181818181818182,19497.665297741274,1667,1.0954084280582495,NV,0
