ST,OCCPSTEM,SEX,RAC1P,JWMNP_ZSCORE,HICOV,ADJWAGPRPP,PWGTP,REP_RATIO,ST_CODE,NaN_Flag
Rhode Island,STEM-related,Female,Two or More Races,0.002210915146045845,1.0,34901.3573543929,113,1.3636958459006363,RI,0
Rhode Island,STEM-related,Female,White alone,-0.009699405969263851,0.9696969696969697,34901.3573543929,3835,2.0487755947598685,RI,0
Rhode Island,STEM-related,Male,White alone,0.5367848231198837,1.0,25926.72260612044,660,0.3035685016200755,RI,0
South Carolina,Non-STEM,Female,American Indian alone,-0.5122564149949821,1.0,34775.483606557376,100,1.1309147710756393,SC,0
South Carolina,Non-STEM,Male,American Indian alone,0.5136363821789237,1.0,30911.54098360656,330,1.1309147710756395,SC,0
South Carolina,Non-STEM,Female,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",-0.1575290272847525,0.5,18215.729508196724,505,1.1309147710756393,SC,0
South Carolina,Non-STEM,Female,Asian alone,-0.22603365094962394,0.8235294117647058,7727.885245901641,1254,0.6617672062197162,SC,0
South Carolina,Non-STEM,Male,Asian alone,-0.1567296240146352,0.8888888888888888,29034.768852459012,3676,1.0709022922395803,SC,0
South Carolina,Non-STEM,Female,Black or African American alone,-0.004577574609814735,0.8410596026490066,16559.754098360656,48444,1.0483359198237328,SC,0
South Carolina,Non-STEM,Male,Black or African American alone,0.02771197635639383,0.7121771217712177,22079.672131147538,47598,1.0664120544734883,SC,0
South Carolina,Non-STEM,Female,Native Hawaiian and Other Pacific Islander alone,,1.0,0.0,127,1.1309147710756395,SC,1
South Carolina,Non-STEM,Male,Native Hawaiian and Other Pacific Islander alone,-0.6302054740961645,1.0,88318.68852459015,96,1.1309147710756393,SC,0
South Carolina,Non-STEM,Female,Some Other Race alone,-0.10125381859933599,0.6190476190476191,10598.242622950818,2304,1.0348004894989171,SC,0
South Carolina,Non-STEM,Male,Some Other Race alone,0.038445251500320986,0.3783783783783784,24287.639344262294,5642,1.116664532448155,SC,0
South Carolina,Non-STEM,Female,Two or More Races,0.18685084535981306,0.875,23018.05819672131,5512,1.0949591108675434,SC,0
South Carolina,Non-STEM,Male,Two or More Races,-0.020941456347426605,0.8387096774193549,23514.85081967213,2900,0.9275036301242517,SC,0
South Carolina,Non-STEM,Female,White alone,-0.08516397842042547,0.8804960541149943,17111.745901639344,91329,0.9381386710467872,SC,0
South Carolina,Non-STEM,Male,White alone,-0.026353229021306605,0.8052356020942408,27599.59016393443,103234,1.0018867018272066,SC,0
South Carolina,Not working,Male,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",,1.0,0.0,28,90.87114989733058,SC,1
South Carolina,Not working,Female,Black or African American alone,,0.8,0.0,759,1.3197704319187509,SC,1
South Carolina,Not working,Male,Black or African American alone,,0.8,0.0,798,1.4365984035911363,SC,1
South Carolina,Not working,Female,White alone,,0.7142857142857143,0.0,990,0.8171272198659105,SC,1
South Carolina,Not working,Male,White alone,,0.5,0.0,1321,1.0301366098943072,SC,1
South Carolina,STEM,Female,Asian alone,0.2708485467166854,1.0,38639.4262295082,431,3.766174317530071,SC,0
South Carolina,STEM,Male,Asian alone,0.6179857352915727,1.0,80590.80327868853,206,0.9937039306097092,SC,0
South Carolina,STEM,Female,Black or African American alone,0.27638426135643945,1.0,48906.47377049181,1071,0.3837650176478883,SC,0
South Carolina,STEM,Male,Black or African American alone,0.8776145700807672,0.8888888888888888,57407.147540983606,1954,0.7248970663517561,SC,0
South Carolina,STEM,Male,Some Other Race alone,-0.8522487251551105,0.0,28703.573770491803,72,0.23595956059307252,SC,0
South Carolina,STEM,Female,Two or More Races,0.550859289265341,1.0,94942.59016393444,124,0.40787381000149603,SC,0
South Carolina,STEM,Male,Two or More Races,0.3721156056286112,1.0,25446.822131147543,219,1.1597841703632115,SC,0
South Carolina,STEM,Female,White alone,-0.21792925212829362,0.9574468085106383,35327.475409836065,5100,0.8674490065068167,SC,0
South Carolina,STEM,Male,White alone,0.18438848457916132,0.9479166666666666,55199.180327868846,9729,1.5634338195817676,SC,0
South Carolina,STEM-related,Female,Asian alone,-0.15271157412494268,1.0,12143.819672131147,458,4.161697523705413,SC,0
South Carolina,STEM-related,Female,Black or African American alone,1.0712260975027503,0.9090909090909091,27599.59016393443,1986,0.7400090719352175,SC,0
South Carolina,STEM-related,Male,Black or African American alone,-0.3535263575459356,1.0,58511.13114754099,127,0.04899337870208121,SC,0
South Carolina,STEM-related,Female,Some Other Race alone,,1.0,7175.893442622951,214,1.6549514307174797,SC,1
South Carolina,STEM-related,Female,Two or More Races,-0.5534000103500225,1.0,27599.59016393443,57,0.19496689576571083,SC,0
South Carolina,STEM-related,Male,Two or More Races,-0.36756985415705234,1.0,33119.50819672131,417,2.296418324684339,SC,0
South Carolina,STEM-related,Female,White alone,0.2030541868532339,0.952,38418.629508196726,12677,2.2421886763388583,SC,0
South Carolina,STEM-related,Male,White alone,-0.08513318027074605,0.9565217391304348,55199.180327868846,2245,0.3751539563901886,SC,0
South Dakota,Non-STEM,Female,American Indian alone,0.006132735340135801,0.7692307692307693,9204.054669703875,2777,1.1434243924521277,SD,0
